ID,CUENTA,PROMEDIO
1,45344,8.8
2,47424,5.6
3,48046,10
4,47861,7.3
5,46157,9.7
6,45847,5.8
7,48141,6.8
8,48265,10
9,46975,7.1
10,48035,9.6
11,47087,6.4
12,45408,5.8
13,48168,6.5
14,45815,6
15,47350,10
16,48555,10
17,46940,7.9
18,45745,5.4
19,46399,7.8
20,49024,5
21,47736,8
22,46181,9.4
23,48868,9
24,48374,8
25,47940,5.2
26,45396,10
27,46703,10
28,46485,5.4
29,46255,8.7
30,48354,9.5
31,47783,9.6
32,46668,6.3
33,46563,5.7
34,48627,5.3
35,48599,10
36,47951,6.2
37,46822,6.9
38,48904,10
39,46098,8.5
40,47769,7.5
41,48932,8.9
42,47204,9
43,45957,10
44,49057,9.3
45,46909,10
46,47353,5.8
47,45406,8.3
48,47039,10
49,46054,8
50,48962,8.2
51,47380,5.2
52,46466,7.7
53,46263,7.1
54,49061,6.2
55,46729,10
56,46022,7
57,46695,7
58,45504,7.6
59,45493,7.7
60,46943,6.2
61,48139,5.9
62,49151,8.1
63,48356,7
64,48676,8.9
65,48568,10
66,45623,7.4
67,47132,9.9
68,47093,6.9
69,47258,10
70,46126,10
71,48651,7.1
72,47665,5.5
73,48910,5.2
74,46209,9.2
75,45371,9.3
76,45519,9.9
77,47509,10
78,47992,6.3
79,47126,7.3
80,45205,8.3
81,48029,8.4
82,46159,5.7
83,48072,8
84,49068,9.9
85,45212,9.7
86,48765,10
87,45428,5.7
88,48248,10
89,46437,9.3
90,47425,7.6
91,47953,9.3
92,48857,9.9
93,45685,5.9
94,48866,8.3
95,46712,7.4
96,48368,9.5
97,47112,10
98,47997,5.7
99,47847,6.1
100,48417,10
101,45361,9.8
102,48565,9.1
103,46341,7.8
104,46078,7.7
105,47031,6
106,46963,7
107,48368,8.6
108,46965,6.1
109,46708,10
110,48910,7.8
111,46749,7.4
112,49004,6
113,49101,7.5
114,48964,8.1
115,47308,8.2
116,45925,5.8
117,48902,10
118,48704,10
119,47227,9.4
120,47387,6.3
121,46326,6.7
122,46392,10
123,47481,9
124,45991,8
125,45344,9.9
126,47119,5
127,46549,5.9
128,46754,10
129,46560,9.3
130,45260,8.8
131,48585,10
132,47504,10
133,48752,10
134,49124,10
135,46289,8.5
136,46398,5.5
137,48252,10
138,48783,9.7
139,48413,8.9
140,45377,6.6
141,46255,6
142,47097,7.5
143,48009,10
144,46952,7.1
145,47844,9.4
146,46332,8.3
147,47571,10
148,48541,7.6
149,46312,10
150,49014,10
151,47970,6.3
152,47345,8
153,45945,5.6
154,45869,8.4
155,48758,10
156,47256,9.1
157,48544,5
158,49029,8.7
159,48693,7.6
160,47210,8.1
161,46673,7.2
162,47852,10
163,47973,7.7
164,45713,8.2
165,45764,7.4
166,49085,6.2
167,45294,5
168,47743,9
169,47312,9.5
170,47403,7.3
171,48113,10
172,48130,10
173,46021,7.1
174,48969,10
175,45961,9.9
176,47386,10
177,45344,5.7
178,48266,8.9
179,46205,5.2
180,45724,5.7
181,48365,6.7
182,47497,5.4
183,48180,9.8
184,48698,9.9
185,47578,7.1
186,48629,9.9
187,47909,8.6
188,47372,5.7
189,47826,5.8
190,46003,7.6
191,48035,7
192,47024,5
193,45384,8
194,49114,6.2
195,48462,10
196,45798,9.3
197,45904,6.9
198,48897,10
199,45745,5.5
200,45997,10
201,48473,5
202,46251,8.5
203,46569,7.9
204,49272,7
205,45970,9.6
206,49293,7
207,46925,5
208,47199,9
209,47711,9.8
210,46031,9
211,47877,7.7
212,47892,7.9
213,45724,10
214,46647,10
215,46807,10
216,46759,6.4
217,45398,6.8
218,46765,5.6
219,48547,9.7
220,46840,6.7
221,47165,9.9
222,48330,7
223,46152,7.2
224,47318,7
225,45805,7
226,46285,8.5
227,46162,6.4
228,46698,6.9
229,46882,6.9
230,46792,8.5
231,46179,6
232,46330,7
233,47056,6.3
234,47854,8.4
235,46467,9.5
236,46979,6.3
237,46506,10
238,47414,9.7
239,47899,8.8
240,46771,5.3
241,46194,8.8
242,48758,7.4
243,47990,7.3
244,48142,10
245,47134,9
246,45740,6.9
247,45353,5.1
248,47678,7.1
249,46079,10
250,47282,8.5
251,45672,10
252,48763,7.1
253,46942,8.9
254,48582,6.5
255,48555,10
256,47171,8.2
257,45630,5.2
258,48754,7.1
259,48459,8.8
260,48322,10
261,47733,7.6
262,47845,8
263,48539,9
264,46045,10
265,48256,8
266,45736,6.1
267,47777,8.1
268,46753,10
269,47881,10
270,45526,6.9
271,47903,8.4
272,46613,7.1
273,45658,8.1
274,48596,6
275,45597,7.9
276,48058,6
277,46535,5.9
278,48288,9.5
279,47949,7
280,48696,6.8
281,48109,8.2
282,46771,8.2
283,46972,8.1
284,47174,9.7
285,45451,6.6
286,46522,5.4
287,46309,5.4
288,48810,6
289,47645,7.9
290,48046,8.3
291,46264,6
292,46748,8.7
293,48058,9.1
294,45597,8.4
295,49027,7
296,46783,8
297,46266,7.8
298,46889,6.5
299,45544,10
300,45469,5.2
301,49162,8.4
302,47381,7.7
303,47049,5.1
304,47251,5.5
305,46528,5.2
306,49072,8.6
307,46915,9.4
308,48837,8.5
309,47604,6.9
310,46807,7.3
311,47735,7.8
312,46395,8.3
313,49343,9.5
314,47186,6.1
315,48461,6.9
316,48834,8.8
317,45556,9.7
318,46061,8.7
319,46196,6
320,46473,6.9
321,46177,7.8
322,48252,5.7
323,48712,5
324,46902,9.4
325,49077,10
326,45635,9
327,45633,6.7
328,47693,6.2
329,46634,7
330,47557,10
331,48930,7.7
332,46195,8.6
333,48414,7.8
334,47954,10
335,45991,9.4
336,48527,9.4
337,48622,10
338,45824,9.7
339,48626,6.9
340,46778,10
341,48685,6
342,45465,5.7
343,46581,10
344,48632,7.2
345,47514,6
346,46299,7.4
347,48309,8.9
348,45679,7.7
349,48762,5.8
350,47152,5.9
351,48302,10
352,49423,8
353,48716,8.1
354,46634,6.4
355,46969,6.1
356,48388,7.7
357,49106,8.1
358,49432,10
359,47554,10
360,48183,6.3
361,48914,10
362,49339,8.8
363,47639,6
364,49414,5.6
365,46615,9
366,45932,7.8
367,48057,9.7
368,46027,9.6
369,47975,10
370,46360,9.6
371,48551,7.8
372,46404,5.2
373,49395,10
374,49105,9
375,49177,10
376,47284,9.6
377,46687,9.3
378,47805,6.1
379,47606,9.9
380,48888,7.1
381,46286,6.1
382,45998,6
383,49340,6.4
384,48687,7.3
385,47065,5.3
386,46065,6.9
387,47983,7.4
388,49303,8.6
389,48119,9.5
390,47338,6.1
391,47059,5.8
392,46866,8.5
393,48495,8
394,46881,5.8
395,46940,10
396,47839,9
397,46118,6.7
398,49215,8.2
399,47484,6.9
400,47261,6
401,49359,8.6
402,46037,7.8
403,48183,9.4
404,48173,6.5
405,46854,7.8
406,46841,5.7
407,46854,6
408,49411,9.2
409,48877,9
410,48599,9
411,45548,7.6
412,45938,8.1
413,46352,8.2
414,45759,10
415,47745,10
416,48585,8
417,47142,5.6
418,46906,7.3
419,49164,10
420,47402,9.1
421,45731,8.8
422,47850,8.5
423,49215,7.8
424,46165,6.6
425,45833,6.5
426,46474,6
427,45816,10
428,46238,6
429,46192,6.1
430,45585,9.4
431,48529,8.6
432,46088,5.3
433,48848,6.7
434,47695,7.6
435,47172,10
436,46065,5.7
437,49292,7.7
438,48509,6.3
439,47911,8.2
440,48380,10
441,47961,9.1
442,47142,6.9
443,46949,7.3
444,46191,8.3
445,46198,10
446,48776,8.6
447,49061,5.9
448,46265,5.2
449,49098,7.4
450,49128,9.5
451,48788,8.7
452,47723,7.8
453,47784,8.5
454,48572,10
455,48158,10
456,47232,10
457,49136,9.1
458,46834,6.8
459,47517,7
460,47956,5.4
461,47021,5.2
462,47669,6.6
463,47460,6.2
464,47031,5
465,46365,7.6
