con,n_pro_viv,n_ren,ent,eda,zona,emp_ppal,ing7c,rama,ingocup
40046,195,2,9,38,2,1,2,4,7525
40050,148,2,9,21,2,1,2,4,6450
40057,74,4,9,32,2,2,4,4,28000
40071,39,1,9,39,2,2,2,4,10750
40071,100,2,9,53,2,2,2,4,6348
40082,98,1,9,47,2,2,4,4,21500
40083,77,2,9,21,2,1,1,4,645
40084,65,1,9,52,2,2,2,4,6450
40085,103,1,9,56,2,1,2,3,9000
40097,98,5,9,69,2,2,3,4,15000
40098,107,1,9,54,2,2,3,1,14000
40101,33,1,9,34,2,2,2,4,10750
40118,43,1,9,84,2,1,1,4,1000
40120,28,1,9,60,2,2,4,4,20000
40124,271,1,9,42,2,1,4,4,26000
40134,141,1,9,54,2,2,2,3,8000
40143,82,2,9,54,2,1,1,4,3870
40144,48,1,9,64,2,1,1,3,4500
40150,133,2,9,47,2,1,1,4,946
40158,109,2,9,60,2,1,1,2,3010
40171,111,1,9,46,2,2,2,2,6450
40172,9,2,9,40,2,2,2,4,8600
40172,122,2,9,37,2,2,2,2,8000
40178,183,3,9,31,2,1,1,4,5160
40178,186,4,9,22,2,1,1,4,3300
40185,58,1,9,41,2,1,1,4,5000
40189,185,1,9,38,2,2,3,3,14000
40190,10,1,9,56,2,2,2,4,9000
40191,4,6,9,28,2,2,2,4,12000
40194,73,2,9,41,2,1,2,4,6450
40199,97,3,9,39,2,2,4,4,21500
40201,116,3,9,22,2,2,1,3,4300
40204,82,2,9,29,2,2,3,4,14000
40212,47,2,9,42,2,2,2,2,6450
40220,60,2,9,30,2,1,1,4,5160
40222,8,3,9,31,2,2,2,4,7200
40228,96,1,9,27,2,2,3,1,12500
40242,130,1,9,30,2,2,1,4,5000
40262,114,1,9,31,2,2,5,4,36000
40268,48,6,9,54,2,1,2,4,8500
40268,99,1,9,46,2,2,1,4,5000
40282,73,2,9,58,2,1,1,3,600
40283,113,2,9,64,2,2,4,4,26000
40290,84,2,9,29,2,2,2,3,12000
40299,119,3,9,32,2,2,4,4,20000
40300,55,1,9,54,2,1,2,4,8000
40306,44,6,9,33,2,1,1,4,3010
40306,72,1,9,57,2,1,1,4,4386
40309,76,2,9,50,2,1,1,2,5160
40309,114,3,9,31,2,2,2,4,7000
40317,41,4,9,18,2,1,1,2,5160
40328,108,2,9,27,2,1,2,3,6450
40338,24,1,9,46,2,1,3,4,12900
40338,24,4,9,22,2,2,1,2,6020
40341,74,3,9,29,2,1,1,3,4300
40342,87,1,9,43,2,1,2,4,12000
40347,80,1,9,75,2,1,2,2,9890
40357,28,3,9,26,2,1,2,4,8600
40358,1,1,9,51,2,2,1,4,4000
40358,23,1,9,53,2,1,2,1,10750
40376,27,1,9,56,2,1,1,4,4300
40377,93,3,9,17,2,1,1,4,5160
40381,142,1,9,35,2,2,5,4,34000
40384,19,1,9,43,2,1,1,3,2150
40384,19,3,9,70,2,1,1,2,1290
40384,77,1,9,64,2,1,2,4,7740
40397,20,3,9,19,2,1,1,3,5160
40405,57,1,9,53,2,2,2,4,8600
40411,36,2,9,48,2,1,1,2,3440
40417,230,1,9,26,2,1,2,3,6450
40420,65,2,9,46,2,1,1,4,5375
40425,43,6,9,28,2,2,2,3,7310
40464,47,1,9,24,2,1,3,3,15050
40485,121,2,9,42,2,1,2,1,10750
40493,1,1,9,26,2,1,3,4,14000
40503,17,1,9,52,2,2,4,4,30000
40512,121,1,9,43,2,1,1,4,2580
40512,213,3,9,20,2,1,2,3,6450
40517,8,2,9,28,2,2,1,3,5590
40520,93,1,9,73,2,1,3,4,17200
40521,20,1,9,35,2,2,3,4,16000
40522,135,1,9,57,2,1,2,4,6880
40548,42,1,9,39,2,1,1,4,3010
40567,125,3,9,54,2,1,1,3,3000
40568,97,1,9,65,2,1,3,1,18060
40571,142,1,9,64,2,1,1,3,430
40572,126,4,9,25,2,2,2,2,7740
40572,62,1,9,68,2,1,1,4,4300
40574,53,5,9,27,2,2,2,3,10000
40583,173,2,9,36,2,2,2,4,12000
40586,57,6,9,31,2,2,1,4,4400
40586,86,2,9,36,2,2,2,4,12000
40595,3,2,9,19,2,1,1,7,1805
40595,41,1,9,28,2,1,2,4,10750
40597,50,1,9,45,2,2,2,4,9000
40603,118,2,9,58,2,1,1,4,1290
40604,114,1,9,50,2,2,2,3,7200
40607,130,1,9,43,2,1,2,4,10750
40609,20,1,9,62,2,2,2,4,9000
40610,112,1,9,56,2,1,4,4,20000
40612,21,5,9,24,2,1,1,3,1935
40617,163,1,9,28,2,2,4,4,22000
40623,122,1,9,55,2,1,3,3,12900
40634,86,1,9,46,2,2,4,4,20000
40640,28,1,9,65,2,1,1,4,5160
3883,130,1,15,47,2,2,2,4,8000
22501,13,2,15,49,2,1,5,4,34400
22501,13,4,15,23,2,1,1,4,5160
22501,104,2,15,36,2,2,4,1,22000
40002,95,3,15,31,2,1,1,4,4300
40004,116,1,15,26,2,1,2,4,9800
40004,116,6,15,26,2,2,2,4,12000
40010,27,2,15,44,2,2,2,2,9460
40013,91,2,15,28,2,1,3,3,12900
40014,75,5,15,24,2,2,2,4,12000
40032,202,4,15,21,2,2,1,4,6000
40040,28,2,15,38,2,2,3,3,12900
40047,74,3,15,32,2,2,2,2,8600
40049,31,5,15,30,2,1,2,4,6450
40056,92,3,15,36,2,2,2,3,7800
40057,82,4,15,52,2,2,1,4,6000
40058,61,1,15,69,2,1,1,4,4000
40067,8,1,15,64,2,1,1,3,2580
40073,98,1,15,50,2,2,1,5,6000
40073,32,2,15,32,2,1,1,4,4300
40084,97,3,15,48,2,2,3,3,12800
40092,34,1,15,33,2,2,3,2,13000
40101,24,5,15,28,2,2,2,2,9800
40101,55,3,15,24,2,2,2,2,7200
40106,93,1,15,63,2,2,2,1,7000
40107,68,1,15,29,2,2,2,4,11000
40107,118,1,15,57,2,2,5,4,40000
40118,24,1,15,46,2,2,4,4,20000
40125,74,1,15,30,2,1,2,1,6450
40127,22,1,15,50,2,1,1,1,3010
40128,99,2,15,30,2,1,1,3,2000
40140,23,1,15,61,2,2,3,4,12900
40146,78,2,15,50,2,1,1,4,5160
40147,82,2,15,63,2,2,2,4,9800
40148,44,2,15,26,2,2,2,2,12000
40149,19,1,15,44,2,2,1,3,3870
40154,100,3,15,28,2,1,1,3,4730
40156,109,3,15,20,2,1,1,2,5590
40159,4,1,15,64,2,1,1,4,4300
40159,77,1,15,39,2,2,3,2,12900
40163,89,1,15,51,2,1,2,4,11400
40166,46,2,15,40,2,1,1,2,5160
40167,36,1,15,28,2,1,2,4,6450
40167,36,5,15,30,2,1,1,4,4000
40168,2,1,15,51,2,1,1,3,4300
40170,155,2,15,54,2,2,1,4,5600
40173,10,2,15,23,2,2,1,4,6000
40177,149,3,15,24,2,2,1,4,4000
40185,31,1,15,60,2,1,1,4,2150
40191,12,2,15,47,2,1,2,4,12040
40194,125,1,15,50,2,2,3,3,16000
40196,30,2,15,24,2,1,2,3,7310
