con,n_pro_viv,n_ren,ent,eda,zona,emp_ppal,ing7c,rama,ingocup
40088,30,2,32,45,2,2,2,4,12000
50008,251,3,11,25,2,2,4,4,28000
60006,85,4,24,21,2,2,1,2,5160
50111,279,3,7,22,2,2,2,2,8600
40026,91,1,24,21,2,2,2,2,6450
41056,96,4,5,43,2,2,1,3,4000
41160,46,1,4,43,2,2,1,3,6000
40312,26,5,21,19,2,1,2,5,6450
60002,110,3,3,13,2,1,2,6,6880
40114,157,2,31,38,2,2,3,4,16000
40169,189,1,20,50,2,2,2,4,12000
50046,182,1,24,58,2,1,2,1,6880
41396,224,1,15,62,2,1,2,1,7740
41052,101,3,30,27,2,2,2,4,8400
40199,66,1,12,66,2,2,2,4,12000
40358,44,1,12,60,2,1,1,3,3000
40094,53,2,24,22,2,2,2,3,8600
60010,128,1,21,56,2,1,1,6,3000
40263,82,1,31,45,2,2,4,3,24000
40221,156,5,27,24,2,1,1,4,6000
50088,38,1,28,35,2,2,4,4,20000
40146,326,2,23,30,2,1,2,4,10000
40326,49,3,10,48,2,2,3,6,15000
60031,117,1,20,48,2,1,1,6,833
60007,317,4,27,20,2,1,1,4,3870
50061,27,1,25,32,2,1,2,3,8600
50040,459,1,14,54,2,1,2,1,6450
50007,403,1,16,37,2,1,1,1,6020
40003,66,1,32,59,2,2,1,4,5160
50037,476,1,16,33,2,2,4,6,30000
60015,54,2,10,42,2,2,1,6,4166
40227,8,1,15,79,2,1,1,4,3096
60009,34,1,27,53,2,2,3,4,14000
60013,34,4,21,24,2,1,1,2,4214
40116,73,4,9,33,2,2,3,3,14000
40004,120,2,12,68,2,2,4,4,20000
22351,56,4,13,18,2,1,2,4,6450
40126,8,3,11,27,2,2,2,2,8600
40083,12,1,15,36,2,2,5,4,50000
60004,162,3,4,21,2,1,1,4,1720
50025,54,5,18,22,2,1,2,4,7000
40037,51,2,17,52,2,1,1,4,4300
60019,38,3,21,30,2,1,1,6,1000
41213,47,1,30,59,2,2,1,3,4200
60012,225,7,16,17,2,1,2,6,6450
40262,38,1,16,28,2,1,3,1,15050
50076,77,1,12,66,2,1,1,2,1935
60023,29,1,22,35,2,1,1,1,3870
50053,160,1,16,60,2,1,1,6,5000
40265,136,1,10,56,2,2,2,4,10000
41091,77,3,2,25,1,2,2,2,12040
40104,27,3,27,22,2,1,1,4,2150
41074,60,1,2,19,1,1,1,4,8600
50050,129,1,14,26,2,2,2,4,9000
50029,122,4,3,27,2,2,3,4,13500
40257,9,1,19,52,2,1,2,1,10750
40096,140,2,27,18,2,1,1,4,4300
41119,35,2,10,35,2,2,1,4,4300
40133,60,1,12,66,2,1,1,2,2150
41208,85,2,7,44,2,2,4,4,20000
41340,45,1,5,54,2,2,2,3,7826
60014,143,1,19,20,2,2,1,6,6020
40407,58,2,18,38,2,2,2,2,7740
41260,60,3,8,18,1,2,1,2,7740
