id,edad,estatura
1,6,121.35
2,4,101.97
3,5,104.71
4,3,91.09
5,2,90.65
6,6,117.38
7,6,114.37
8,4,96.98
9,3,97.99
10,5,117.65
11,2,89.67
12,4,108.22
13,5,104.45
14,2,94.45
15,5,111.93
16,5,114.46
17,3,100.62
18,3,90.72
19,4,94.68
20,2,91.22
21,5,111.76
22,4,99.66
23,6,116.42
24,5,100.01
25,5,103.32
26,3,93.59
27,4,95.05
28,3,100
29,4,104.3
30,4,100.88
31,3,96.53
32,6,117.95
33,5,117.16
34,6,118.3
35,6,124.23
36,3,103.41
37,6,111.39
38,6,110.34
39,2,82.05
40,6,122.03
41,2,94.17
42,4,95.31
43,6,112.71
44,2,93.46
45,5,103.25
46,4,103.27
47,4,99.65
48,5,101.84
49,4,96.83
50,6,115.18
51,3,97.92
52,5,102.1
53,2,91.8
54,2,80.93
55,3,103.21
56,3,102.91
57,6,118.36
58,6,109.63
59,4,101.8
60,4,109.79
61,5,111.98
62,6,113.67
63,2,82.35
64,4,103.47
65,4,104.59
66,4,109.32
67,3,103.93
68,5,114.18
69,4,109.04
70,2,91.97
71,4,105.53
72,3,98.84
73,5,103.44
74,4,95.66
75,4,102.22
76,6,122.46
77,4,98.6
78,5,112.41
79,6,121.01
80,2,88.51
81,5,108.2
82,2,89.7
83,6,113.43
84,5,113.72
85,4,101.7
86,3,98.01
87,5,117.79
88,6,108.04
89,3,91.95
90,5,107.28
91,6,115.36
92,3,91.82
93,3,103.98
94,2,89.82
95,6,110.94
96,4,95.03
97,3,88.4
98,6,116.11
99,3,96.36
100,6,111.98
101,6,123.2
102,3,100.1
103,4,104.95
104,2,89.87
105,6,111.04
106,6,112.41
107,2,81.7
108,4,109.71
109,5,101.28
110,2,90.78
111,6,109.52
112,4,106.16
113,5,103.64
114,5,105.29
115,4,99.43
116,6,112.6
117,5,115.99
118,4,95.89
119,3,95.16
120,4,98.11
121,3,94.97
122,4,101.21
123,2,92.25
124,3,103.07
125,6,109.04
126,3,99.33
127,3,102.84
128,3,97.09
129,4,109.98
130,2,83.74
131,4,100.51
132,3,102.8
133,2,91.53
134,3,90.82
135,6,115.04
136,3,100.8
137,2,87.78
138,4,100.83
139,6,110.32
140,4,101.85
141,6,122.26
142,5,113.81
143,6,117
144,2,85.47
145,4,107.64
146,3,88.51
147,2,91.51
148,3,98.99
149,4,99.43
150,4,106.73
151,4,97.74
152,5,100.95
153,2,84.38
154,2,94.11
155,2,82.97
156,2,82.03
157,2,84.54
158,5,111.5
159,2,94.78
160,3,92.3
161,2,85.06
162,6,111.3
163,6,110.35
164,6,118.52
165,5,109.16
166,4,97.34
167,3,95.64
168,5,115.26
169,2,92.73
170,2,94.19
171,6,123.2
172,2,84.23
173,5,106.64
174,2,90.5
175,2,82.77
176,2,80.27
177,4,101.87
178,5,112.48
179,6,112.74
180,2,83.33
181,6,120.33
182,4,101.55
183,5,108.87
184,6,124.93
185,5,106.76
186,6,117.02
187,5,111.89
188,6,121.55
189,2,81.89
190,3,95.89
191,4,97.17
192,3,92.68
193,5,107.22
194,3,88.22
195,3,89.25
196,3,101.7
197,6,110.34
198,6,121.96
199,5,112.68
200,6,110.73
201,3,94.84
202,5,108.8
203,5,105.75
204,4,102.09
205,3,103.94
206,3,94.91
207,2,85.2
208,2,92.56
209,2,86.34
210,2,84.77
211,5,100.77
212,3,100.13
213,3,101.22
214,3,90.44
215,4,96.58
216,4,100.39
217,2,87.71
218,3,98.58
219,3,91.57
220,3,99.69
221,4,104.19
222,5,105.25
223,6,117.61
224,6,117.01
225,4,102.75
226,2,84.03
227,6,110.46
228,4,96.17
229,5,115.62
230,4,96.98
231,5,100.16
232,4,94.91
233,2,88.21
234,3,99.82
235,2,89.64
236,2,90.47
237,5,105.78
238,4,104.98
239,2,90.42
240,5,110.72
241,6,124.42
242,4,100.54
243,4,97.7
244,6,122.09
245,5,115.68
246,3,95.82
247,5,104.69
248,3,92.78
249,4,98.1
250,2,81.88
251,4,109.46
252,4,98.49
253,2,94.23
254,6,117.79
255,4,94.65
256,6,115.41
257,4,98.04
258,6,111.47
259,2,80.62
260,6,113.09
261,4,99.86
262,6,122.21
263,3,98.48
264,2,83.39
265,4,95.39
266,4,99.73
267,5,112.36
268,5,105.29
269,6,119.07
270,2,88.31
271,4,104.38
272,4,109.85
273,5,100.6
274,6,115.6
275,2,80.48
276,4,103.79
